timedelta,startTide,endTide
0,-0.018,-0.608
60,-0.608,-1.018
120,-1.018,-1.158
180,-1.158,-1.048
240,-1.048,-0.668
300,-0.668,-0.098
360,-0.098,0.502
420,0.502,1.002
480,1.002,1.262
540,1.262,1.262
600,1.262,1.062
660,1.062,0.752
720,0.752,0.282
780,0.282,-0.178
840,-0.178,-0.398
900,-0.398,-0.418
960,-0.418,-0.178
1020,-0.178,0.252
1080,0.252,0.672
1140,0.672,1.052
1200,1.052,1.162
1260,1.162,1.022
1320,1.022,0.702
1380,0.702,0.182
1440,0.182,-0.378
1500,-0.378,-0.828
1560,-0.828,-1.168
1620,-1.168,-1.198
1680,-1.198,-0.958
1740,-0.958,-0.528
1800,-0.528,0.072
1860,0.072,0.682
1920,0.682,1.072
1980,1.072,1.212
2040,1.212,1.182
2100,1.182,0.922
2160,0.922,0.512
2220,0.512,0.052
2280,0.052,-0.298
2340,-0.298,-0.468
2400,-0.468,-0.368
2460,-0.368,-0.068
2520,-0.068,0.372
2580,0.372,0.832
2640,0.832,1.112
2700,1.112,1.142
2760,1.142,0.912
2820,0.912,0.532
2880,0.532,-0.018
2940,-0.018,-0.608
3000,-0.608,-1.018
3060,-1.018,-1.188
3120,-1.188,-1.098
3180,-1.098,-0.748
3240,-0.748,-0.228
3300,-0.228,0.362
3360,0.362,0.862
3420,0.862,1.132
3480,1.132,1.182
3540,1.182,1.052
3600,1.052,0.722
3660,0.722,0.352
3720,0.352,-0.028
3780,-0.028,-0.258
3840,-0.258,-0.278
3900,-0.278,-0.148
3960,-0.148,0.222
4020,0.222,0.632
4080,0.632,0.972
4140,0.972,1.042
4200,1.042,1.012
4260,1.012,0.762
4320,0.762,0.332
4380,0.332,-0.178
4440,-0.178,-0.638
4500,-0.638,-0.898
4560,-0.898,-0.938
4620,-0.938,-0.798
4680,-0.798,-0.428
4740,-0.428,0.122
4800,0.122,0.622
4860,0.622,0.972
4920,0.972,1.092
4980,1.092,1.102
5040,1.102,0.942
5100,0.942,0.652
5160,0.652,0.342
5220,0.342,0.002
5280,0.002,-0.168
5340,-0.168,-0.148
5400,-0.148,0.072
5460,0.072,0.402
5520,0.402,0.752
5580,0.752,0.962
5640,0.962,0.992
5700,0.992,0.902
5760,0.902,0.632
5820,0.632,0.232
5880,0.232,-0.258
5940,-0.258,-0.648
6000,-0.648,-0.798
6060,-0.798,-0.788
6120,-0.788,-0.598
6180,-0.598,-0.188
6240,-0.188,0.282
6300,0.282,0.712
6360,0.712,0.972
6420,0.972,1.062
6480,1.062,1.012
6540,1.012,0.812
6600,0.812,0.572
6660,0.572,0.302
6720,0.302,0.022
6780,0.022,-0.078
6840,-0.078,0.022
6900,0.022,0.202
6960,0.202,0.492
7020,0.492,0.762
7080,0.762,0.902
7140,0.902,0.912
7200,0.912,0.732
7260,0.732,0.492
7320,0.492,0.102
7380,0.102,-0.338
7440,-0.338,-0.608
7500,-0.608,-0.738
7560,-0.738,-0.738
7620,-0.738,-0.518
7680,-0.518,-0.158
7740,-0.158,0.182
7800,0.182,0.592
7860,0.592,0.812
7920,0.812,0.872
7980,0.872,0.842
8040,0.842,0.692
8100,0.692,0.452
8160,0.452,0.212
8220,0.212,-0.038
8280,-0.038,-0.128
8340,-0.128,-0.058
8400,-0.058,0.102
8460,0.102,0.362
8520,0.362,0.592
8580,0.592,0.652
8640,0.652,0.662
8700,0.662,0.582
8760,0.582,0.362
8820,0.362,0.052
8880,0.052,-0.278
8940,-0.278,-0.518
9000,-0.518,-0.608
9060,-0.608,-0.548
9120,-0.548,-0.328
9180,-0.328,-0.008
9240,-0.008,0.292
9300,0.292,0.602
9360,0.602,0.792
9420,0.792,0.852
9480,0.852,0.822
9540,0.822,0.692
9600,0.692,0.502
9660,0.502,0.222
9720,0.222,-0.008
9780,-0.008,-0.108
9840,-0.108,-0.098
9900,-0.098,0.012
9960,0.012,0.162
10020,0.162,0.382
10080,0.382,0.562
10140,0.562,0.622
10200,0.622,0.602
10260,0.602,0.472
10320,0.472,0.242
10380,0.242,-0.048
10440,-0.048,-0.308
10500,-0.308,-0.398
10560,-0.398,-0.398
10620,-0.398,-0.258
10680,-0.258,0.002
10740,0.002,0.302
10800,0.302,0.602
10860,0.602,0.802
10920,0.802,0.912
10980,0.912,0.932
11040,0.932,0.782
11100,0.782,0.572
11160,0.572,0.282
11220,0.282,-0.008
11280,-0.008,-0.218
11340,-0.218,-0.278
11400,-0.278,-0.148
11460,-0.148,0.042
11520,0.042,0.312
11580,0.312,0.582
11640,0.582,0.742
11700,0.742,0.802
11760,0.802,0.702
11820,0.702,0.502
11880,0.502,0.192
11940,0.192,-0.128
12000,-0.128,-0.318
12060,-0.318,-0.358
12120,-0.358,-0.248
12180,-0.248,-0.028
12240,-0.028,0.282
12300,0.282,0.582
12360,0.582,0.832
12420,0.832,0.982
12480,0.982,0.962
12540,0.962,0.792
12600,0.792,0.502
12660,0.502,0.122
12720,0.122,-0.268
12780,-0.268,-0.518
12840,-0.518,-0.568
12900,-0.568,-0.438
12960,-0.438,-0.198
13020,-0.198,0.152
13080,0.152,0.542
